,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Mean (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Omega (deg),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Habitable,P. Confirmed
2932,1.14,1.09,0.89,0.97,1.03,790.5,1.0,-22.3,2.06,4.46,0.0484,0.0,0.05,0.0,0.76,0.71,4679.0,0.21678,18.8747,43.5256,-31.7,7.8298,1.0,0.0,0.37,0.906,-2.2,-0.17,-1.02,0.29,0.31,0.0,0.0,1.0
2933,19.94,2.34,1.55,3.64,2.92,1081.8,31.0,-25.34,4.45,13.54,0.1246,0.0,0.12,0.0,1.41,1.95,6203.0,5.05087,19.4823,41.5752,-33.0,8.3449,1.0,0.0,1.644,3.835,-2.39,-0.12,-0.01,0.3,0.24,0.0,0.0,1.0
2934,20.8,2.36,1.58,3.72,2.97,760.6,32.8,-23.82,4.49,22.71,0.1663,0.0,0.17,0.0,1.19,1.28,6217.0,2.196004,19.6178,45.2043,-31.5,4.1034,1.0,0.0,1.083,2.526,-2.27,-0.12,0.35,0.3,0.25,0.0,0.0,1.0
2935,13.55,2.14,1.38,2.96,2.52,833.1,18.8,-24.0,4.07,7.97,0.0759,0.0,0.08,0.0,0.92,0.89,5519.0,0.659343,19.192,43.3641,-31.9,6.2494,1.0,0.0,0.619,1.469,-2.28,-0.13,-0.04,0.3,0.26,0.0,0.0,1.0
2936,13.26,2.13,1.38,2.93,2.5,501.3,18.2,-21.78,4.04,10.71,0.0797,0.0,0.08,0.0,0.59,0.57,4253.0,0.095372,19.9385,45.4406,-29.7,3.8097,1.0,0.0,0.249,0.622,-1.91,-0.13,0.43,0.34,0.33,0.0,0.0,1.0
2937,15.43,2.21,1.44,3.17,2.64,497.2,22.2,-21.82,4.19,32.56,0.1919,0.0,0.19,0.0,0.89,0.84,5390.0,0.534323,18.8861,45.4341,-29.6,2.3326,1.0,0.0,0.561,1.337,-1.95,-0.12,0.56,0.33,0.33,0.0,0.0,1.0
2938,0.96,1.03,0.88,0.9,0.96,1220.9,0.8,-24.08,1.96,6.12,0.0699,0.0,0.07,0.0,1.22,1.35,6302.0,2.579117,19.3491,50.0301,-33.6,10.301,1.0,0.0,1.167,2.719,-2.41,-0.17,-1.2,0.27,0.3,0.0,0.0,1.0
2939,1.27,1.12,0.9,1.01,1.06,941.8,1.1,-23.13,2.13,3.98,0.0465,0.0,0.05,0.0,0.85,0.79,5183.0,0.404081,19.1686,38.8945,-32.4,9.0599,1.0,0.0,0.493,1.185,-2.29,-0.17,-1.06,0.28,0.3,0.0,0.0,1.0
2940,3.88,1.55,1.05,1.63,1.59,963.9,4.1,-23.93,2.94,9.48,0.0913,0.0,0.09,0.0,1.13,1.18,6080.0,1.707136,19.1314,44.7083,-32.5,6.8935,1.0,0.0,0.963,2.252,-2.35,-0.15,-0.74,0.29,0.28,0.0,0.0,1.0
2941,5.4,1.69,1.12,1.89,1.79,503.9,6.0,-21.3,3.21,33.24,0.1953,0.0,0.2,0.0,0.9,0.86,5446.0,0.58371,19.3566,50.9029,-29.7,2.3468,1.0,0.0,0.585,1.391,-1.97,-0.15,-0.19,0.34,0.35,0.0,0.0,1.0
