,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Mean (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Omega (deg),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Habitable,P. Confirmed
0,4451.16,19.04,0.64,12.28,15.29,11.4,2870.4,-10.06,36.81,721.5746168324818,330.0,0.0,330.0,0.0,0.73,1.35,4060.0,0.444285,16.1583,-21.0828,-13.2,0.0022,1.0,0.0,0.54,1.362,800.07,23.51,85.62,0.0,0.05,0.0,0.0,1.0
1,6358.8,10.94,4.86,53.12,24.11,97.7,30873.8,-18.21,20.91,3725.0,3.9,0.0,3.9,0.0,0.9,0.99,4400.0,0.329588,14.13,-39.7619,-22.5,0.1353,1.0,0.0,0.461,1.143,9.07,15.3,45.41,0.02,0.07,0.0,0.0,1.0
2,4133.22,11.4,2.79,31.79,19.04,11.4,11520.8,-8.91,21.8,721.5746168324818,84.0,0.0,84.0,0.0,0.4,0.38,3840.0,0.027955,1.06,-55.2656,-13.2,0.0024,1.0,0.0,0.136,0.347,793.67,12.57,107.44,0.0,0.06,0.0,0.0,1.0
3,6358.8,11.2,4.53,50.69,23.83,14.4,28780.4,-9.92,21.41,721.5746168324818,52.0,0.0,52.0,0.0,0.4,0.38,3840.0,0.027955,1.3808,-24.6142,-14.2,0.0039,1.0,0.0,0.136,0.347,490.45,15.72,119.46,0.0,0.08,0.0,0.0,1.0
4,4419.37,16.13,1.05,16.99,16.55,5.6,4655.6,-6.6,31.03,721.5746168324818,156.0,0.0,156.0,0.0,0.11,0.27,3064.0,0.005765,2.3228,-39.4231,-10.1,0.0009,1.0,0.0,0.062,0.165,3028.82,19.46,133.25,0.0,0.06,0.0,0.0,1.0
5,2384.55,11.66,1.5,17.53,14.3,4.8,3585.2,-5.21,22.3,721.5746168324818,15.0,0.0,15.0,0.0,0.02,0.01,3840.0,2.8e-05,4.6958,23.0308,-9.4,0.0004,1.0,0.0,0.004,0.011,4453.14,10.21,124.39,0.0,0.07,0.0,0.0,1.0
6,9538.2,10.86,7.44,80.81,29.63,16.8,70951.8,-10.87,20.76,4640.0,2.897,0.49,2.53,354.4,0.12,0.09,2205.0,0.000168,7.7786,20.0089,-15.2,0.0187,1.0,0.0,0.011,0.029,325.42,20.19,132.41,0.0,0.08,0.0,0.0,1.0
7,1271.76,11.66,0.8,9.36,10.44,3.3,1020.6,-3.53,22.3,721.5746168324818,46.0,0.0,46.0,0.0,0.03,0.02,3840.0,5.8e-05,12.1258,-39.5483,-7.7,0.0002,1.0,0.0,0.006,0.016,9575.68,8.56,109.81,0.0,0.08,0.0,0.0,1.0
8,604.09,11.21,0.43,4.81,7.34,159.4,259.4,-20.4,21.42,416.0,0.92,0.0,0.92,0.0,0.6,1.4982379558158103,5481.50649867374,0.1296,19.6425,46.0664,-24.7,6.976087276129377,1.0,0.0,0.9733436334576451,2.323896377197656,2.51,7.35,9.51,0.08,0.24,0.0,0.0,1.0
9,6358.8,10.3,5.81,59.89,24.84,17.0,36960.1,-10.54,19.68,7340.0,3.53,0.26,3.41,223.0,0.08,0.1,2300.0,0.000251,21.6747,16.4217,-15.0,0.0156,1.0,0.0,0.013,0.035,316.89,14.27,113.5,0.0,0.08,0.0,0.0,1.0
10,9538.2,14.56,3.09,44.99,25.59,16.2,29474.7,-11.0,27.95,8686.0,4.48,0.0,4.48,0.0,0.13,0.11,2350.0,0.000331,22.1064,-20.785,-14.7,0.0131,1.0,0.0,0.015,0.041,347.42,27.82,121.07,0.0,0.06,0.0,0.0,1.0
11,3974.25,11.43,2.66,30.4,18.64,7.5,10567.3,-7.09,21.86,721.5746168324818,230.0,0.0,230.0,0.0,0.6,0.25,5150.0,0.039326,22.6069,47.8619,-11.3,0.0006,1.0,0.0,0.154,0.371,2122.87,12.37,130.05,0.0,0.06,0.0,0.0,1.0
12,12717.6,9.75,13.73,133.83,36.12,1.6,174590.9,-0.02,18.61,721.5746168324818,300.0,0.0,300.0,0.0,0.04,0.03,3840.0,0.00014,14.8447,-78.6939,-4.6,0.0,1.0,0.0,0.01,0.025,40152.3,22.78,550.24,0.0,0.04,0.0,0.0,1.0
13,12717.6,9.75,13.73,133.83,36.12,1.6,174590.9,-0.02,18.61,721.5746168324818,300.0,0.0,300.0,0.0,0.04,0.03,3840.0,0.00014,14.845,-78.6947,-4.6,0.0,1.0,0.0,0.01,0.025,40152.3,22.78,550.24,0.0,0.04,0.0,0.0,1.0
14,9538.2,10.3,8.73,89.9,30.43,765.3643735286424,83247.3,-23.631825334382377,19.67,721.5746168324818,518.0,0.0,518.0,0.0,0.9731187859759288,1.4982379558158103,3840.0,4.748896123665712,22.8375,23.4261,-30.396547214229663,6.976087276129377,1.0,0.0,0.9733436334576451,2.323896377197656,120.02285377975412,19.03,4.429553382663848,0.21608879492600425,0.2633656110965716,0.0,0.0,1.0
15,1176.38,11.64,0.75,8.68,10.05,765.3643735286424,877.3,-23.631825334382377,22.26,32850.0,10.77480166927491,0.0,10.74170057381325,0.0,0.9731187859759288,1.4982379558158103,5481.50649867374,4.748896123665712,11.3257,-11.6296,-30.396547214229663,6.976087276129377,1.0,0.0,0.9733436334576451,2.323896377197656,120.02285377975412,8.41,4.429553382663848,0.21608879492600425,0.2633656110965716,0.0,0.0,1.0
16,4228.6,11.38,2.87,32.62,19.27,2.4,12117.6,-2.12,21.77,721.5746168324818,6900.0,0.0,6900.0,0.0,0.4,1.39,3840.0,0.372521,21.4244,-81.6411,-6.4,0.0001,1.0,0.0,0.497,1.267,17908.75,12.7,238.96,0.0,0.06,0.0,0.0,1.0
17,2257.37,11.67,1.42,16.57,13.91,877.3,3205.8,-28.21,22.32,269.3,0.87,0.43,0.78,23.8,1.23,18.11,4415.0,111.801993,8.6703,64.3281,-32.4,12.3239,1.0,0.0,8.48,21.034,-2.21,10.03,7.06,0.07,0.07,0.0,0.0,1.0
18,21874.27,5.393004926108374,1.525530303030303,6.3823641588296764,4.238435214211076,337.1,4536.8270898641595,-23.631825334382377,10.306642468239565,899.0,2.2,0.13,2.18,27.0,1.7,5.2,4978.0,14.897593,6.5131,58.1628,-28.0,1.2711,1.0,0.0,3.026,7.323,-1.38,3.728769592476489,4.429553382663848,0.21608879492600425,0.25,0.0,0.0,1.0
19,782.13,11.44,0.52,5.98,8.27,230.0,408.7,-22.11,21.87,796.0,1.93,0.22,1.88,77.0,1.52,2.3,4792.0,2.502723,6.6114,-19.2558,-26.4,0.651,1.0,1.0,1.251,3.05,-0.23,7.72,8.73,0.08,0.42,0.0,0.0,1.0
20,476.91,10.92,0.37,4.0,6.61,960.5,174.8,-28.19,20.86,93.4,0.49,0.06,0.49,91.0,1.8,9.9,4847.4,48.550717,14.9467,74.9008,-32.5,10.8025,1.0,0.0,5.496,13.371,-2.27,7.02,2.39,0.11,0.11,0.0,0.0,1.0
21,6168.04,10.98,4.66,51.15,23.7,799.7,28729.5,-27.47,20.99,326.03,1.29,0.23,1.26,94.8,2.7,19.0,4742.0,163.773362,12.3453,17.7928,-31.8,8.074,1.0,0.0,10.14,24.781,-2.21,15.07,14.33,0.05,0.06,0.0,0.0,1.0
22,6676.74,10.87,5.19,56.47,24.78,1.1,34672.8,1.55,20.78,730000.0,243.0,0.0,243.0,0.0,0.02,0.02,2375.0,1.8e-05,16.3736,-24.0872,-2.8,0.0001,1.0,0.0,0.003,0.009,82422.85,15.68,464.12,0.0,0.05,0.0,0.0,1.0
23,3338.37,11.54,2.17,25.05,17.0,756.4,7242.6,-27.27,22.08,516.22,1.54,0.08,1.54,117.6,1.8,24.08,4340.0,184.570281,15.285,71.8239,-31.5,8.3671,1.0,0.0,10.921,27.187,-2.15,11.54,10.21,0.06,0.07,0.0,0.0,1.0
24,1694.62,11.68,1.06,12.41,12.04,772.6,1800.5,-27.38,22.34,185.84,0.83,0.0,0.83,0.0,2.2,11.0,4813.0,58.25573,23.5214,39.2361,-31.6,7.0672,1.0,0.0,6.029,14.69,-2.2,9.2,6.65,0.08,0.09,0.0,0.0,1.0
25,1475.24,11.68,0.93,10.82,11.24,117.3,1366.4,-19.35,22.33,1773.4,2.77,0.37,2.57,22.6,0.9,0.71,5311.0,0.357817,16.1731,43.8217,-23.5,0.1466,1.0,0.0,0.461,1.102,6.36,8.87,17.88,0.05,0.13,0.0,0.0,1.0
26,534.14,11.06,0.39,4.36,6.95,187.6,210.6,-21.94,21.15,799.5,1.68,0.69,1.22,83.4,1.01,0.98,5766.0,0.952446,19.6975,50.5175,-26.2,0.4289,1.0,0.0,0.733,1.727,1.15,7.17,7.16,0.09,0.39,0.0,0.0,1.0
27,3274.78,11.55,2.12,24.53,16.83,396.8,6951.2,-24.46,22.1,993.3,2.6,0.08,2.59,166.1,2.3,8.5,4979.0,39.83788,20.9739,10.8392,-28.7,1.7479,1.0,0.0,4.949,11.975,-1.67,11.45,14.59,0.05,0.2,0.0,0.0,1.0
28,289.33,10.09,0.28,2.84,5.35,1614.3,81.4,-30.28,19.27,30.35,0.19,0.04,0.19,210.0,0.99,10.64,4893.0,58.220234,14.4775,49.845,-34.8,30.2187,1.0,0.0,6.006,14.585,-2.36,6.34,0.85,0.13,0.12,0.0,0.0,1.0
29,632.7,11.25,0.44,5.0,7.5,430.8,280.9,-24.76,21.51,452.8,1.333,0.09,1.33,9.2,1.54,4.9,5098.0,14.550615,10.3911,0.9022,-29.0,1.967,2.0,0.0,2.974,7.162,-1.78,7.41,5.25,0.1,0.21,0.0,0.0,1.0
30,273.43,9.99,0.27,2.74,5.23,343.2,75.1,-23.61,19.06,883.0,2.08,0.29,1.99,220.5,1.54,4.9,5098.0,14.550615,10.3911,0.9022,-28.1,1.3118,2.0,0.0,2.974,7.162,-1.42,6.26,3.66,0.12,0.35,0.0,0.0,1.0
31,3141.25,11.58,2.03,23.44,16.47,316.2,6362.4,-23.58,22.13,335.1,0.995,0.29,0.95,307.0,1.22,1.23,6484.0,2.399231,2.6161,24.6481,-27.8,0.6881,1.0,0.0,1.114,2.586,-1.15,11.27,15.94,0.05,0.31,0.0,0.0,1.0
32,1433.91,11.68,0.9,10.52,11.08,258.0,1291.7,-22.59,22.33,825.9,1.82,0.03,1.82,0.0,1.18,1.45,6557.0,3.486957,12.8864,-3.5531,-26.8,0.4248,1.0,1.0,1.337,3.102,-0.45,8.8,11.61,0.06,0.41,0.0,0.0,1.0
33,1233.61,11.65,0.78,9.09,10.29,789.4,961.9,-27.68,22.28,479.1,1.19,0.38,1.1,218.7,0.98,22.03,4200.0,135.492709,18.4331,65.5636,-31.9,10.6812,1.0,0.0,9.395,23.546,-2.16,8.5,5.18,0.09,0.09,0.0,0.0,1.0
34,804.39,11.46,0.53,6.13,8.38,199.6,430.0,-21.43,21.91,1078.0,2.1,0.03,2.1,334.0,1.03,1.24,5892.0,1.662586,10.9914,40.4294,-25.7,0.3148,3.0,1.0,0.961,2.258,0.76,7.77,9.73,0.07,0.35,0.0,0.0,1.0
35,171.69,9.01,0.23,2.11,4.36,152.4,40.3,-19.74,17.19,2391.0,3.6,0.1,3.58,295.0,1.03,1.24,5892.0,1.662586,10.9914,40.4294,-24.5,0.1844,3.0,1.0,0.961,2.258,3.08,5.63,5.1,0.11,0.27,0.0,0.0,1.0
36,521.42,11.03,0.39,4.28,6.87,84.8,202.4,-17.65,21.09,14002.0,11.6,0.16,11.45,110.0,1.03,1.24,5892.0,1.662586,10.9914,40.4294,-22.0,0.0577,3.0,1.0,0.961,2.258,15.47,7.14,12.64,0.05,0.12,0.0,0.0,1.0
37,2893.25,12.43,1.51,18.72,15.26,104.7,4356.6,-18.85,23.8,14965.0,14.0,0.21,13.69,90.0,1.75,1.49,7300.0,5.6428,4.6267,-2.4735,-22.9,0.0581,1.0,0.0,1.647,3.796,10.57,11.9,26.9,0.03,0.1,0.0,0.0,1.0
38,149.43,21.28,0.02,0.33,2.65,1260.3,2.3,-30.82,41.33,4.23,0.052,0.01,0.05,54.1,1.11,1.27,5793.0,1.619464,22.9575,20.7686,-33.7,13.0026,1.0,0.0,0.954,2.247,-2.4,18.21,-0.29,0.05,0.05,1.0,0.0,1.0
39,267.07,9.94,0.27,2.7,5.18,660.7,72.6,-26.34,18.98,14.65,0.1134,0.0,0.11,110.0,0.91,0.94,5196.0,0.581554,8.8769,28.3339,-30.9,4.4331,5.0,1.0,0.591,1.419,-2.15,6.23,2.17,0.13,0.15,1.0,0.0,1.0
40,56.72,6.56,0.2,1.32,2.94,456.5,11.4,-23.83,12.49,44.37,0.2374,0.07,0.24,356.0,0.91,0.94,5196.0,0.581554,8.8769,28.3339,-29.3,2.1229,5.0,1.0,0.591,1.419,-1.86,4.23,0.93,0.17,0.28,1.0,0.0,1.0
41,1227.25,11.65,0.78,9.04,10.26,95.3,952.3,-18.24,22.28,4867.0,5.446,0.03,5.44,254.0,0.91,0.94,5196.0,0.581554,8.8769,28.3339,-22.4,0.0923,5.0,1.0,0.591,1.419,10.73,8.49,18.59,0.04,0.1,1.0,0.0,1.0
42,8.1,1.99,1.03,2.05,2.02,1790.4,8.3,-27.18,3.78,0.74,0.0154,0.03,0.02,170.0,0.91,0.94,5196.0,0.581554,8.8769,28.3339,-35.2,33.0178,5.0,1.0,0.591,1.419,-2.39,0.06,-0.81,0.28,0.26,1.0,0.0,1.0
43,47.02,6.17,0.2,1.23,2.76,252.9,9.4,-21.12,11.75,260.91,0.7733,0.08,0.77,139.0,0.91,0.94,5196.0,0.581554,8.8769,28.3339,-26.7,0.652,5.0,1.0,0.591,1.419,-0.56,4.03,1.62,0.19,0.6,1.0,0.0,1.0
44,5.09,1.66,1.1,1.84,1.75,1054.4,5.6,-24.5,3.16,4.21,0.0502,0.12,0.05,105.0,0.95,0.94,5531.0,0.741925,13.3067,-18.3111,-32.9,10.0643,3.0,0.0,0.656,1.556,-2.35,-0.15,-0.69,0.29,0.27,1.0,0.0,1.0
45,18.22,4.51,0.2,0.9,2.01,506.4,3.6,-23.48,8.57,38.02,0.2175,0.14,0.22,341.0,0.95,0.94,5531.0,0.741925,13.3067,-18.3111,-29.8,2.3262,3.0,0.0,0.656,1.556,-1.97,3.18,-0.01,0.21,0.3,1.0,0.0,1.0
46,22.89,4.87,0.2,0.97,2.17,340.0,4.5,-22.06,9.26,123.01,0.476,0.35,0.45,314.0,0.95,0.94,5531.0,0.741925,13.3067,-18.3111,-28.2,1.1235,3.0,0.0,0.656,1.556,-1.38,3.36,0.5,0.21,0.48,1.0,0.0,1.0
47,2098.4,11.68,1.32,15.39,13.4,479.1,2764.7,-25.57,22.33,116.67,0.48,0.43,0.43,2.1,0.92,1.97,5432.0,3.025375,13.4739,13.7867,-29.8,2.4203,1.0,0.0,1.332,3.17,-1.91,9.8,9.74,0.07,0.14,1.0,0.0,1.0
48,953.82,11.56,0.62,7.14,9.08,477.8,588.8,-25.26,22.11,691.9,2.1,0.0,2.1,0.0,2.49,10.5,4846.0,54.550918,2.5358,-1.035,-29.5,2.6648,1.0,0.0,5.826,14.175,-1.89,8.04,6.3,0.09,0.17,0.0,0.0,1.0
49,1685.08,11.68,1.06,12.34,12.01,565.2,1780.3,-26.07,22.34,952.7,2.5,0.21,2.45,175.0,2.4,18.0,4790.0,153.030103,2.6283,-3.3961,-30.3,3.9219,1.0,0.0,9.782,23.856,-2.03,9.18,7.97,0.08,0.12,0.0,0.0,1.0
50,1017.41,11.59,0.65,7.57,9.37,718.8,664.8,-27.05,22.16,181.4,0.7,0.03,0.7,177.3,2.5,8.55,4665.0,31.06195,23.2647,-9.0875,-31.3,6.5151,1.0,0.0,4.43,10.862,-2.16,8.15,5.03,0.09,0.1,0.0,0.0,1.0
51,4292.19,11.37,2.92,33.19,19.43,12.8,12525.9,-9.42,21.74,721.5746168324818,275.0,0.0,275.0,0.0,0.9731187859759288,0.98,4875.0,0.480532,6.32,-58.0542,-13.7,0.0019,1.0,0.0,0.546,1.327,701.84,12.78,103.28,0.0,0.06,0.0,0.0,1.0
52,2057.07,11.68,1.29,15.08,13.27,993.1,2655.8,-28.49,22.34,628.96,1.46,0.1,1.45,287.0,1.13,45.1,4055.0,493.408199,4.5986,16.5092,-32.7,16.603,1.0,0.0,17.994,45.42,-2.21,9.73,6.4,0.08,0.07,0.0,0.0,1.0
53,572.29,11.15,0.41,4.61,7.17,680.5,236.5,-26.81,21.3,380.8,1.2,0.25,1.16,89.2,1.5,13.9,4553.0,74.492062,2.1194,23.4622,-31.1,6.3787,1.0,0.0,6.889,16.979,-2.13,7.27,3.53,0.11,0.12,0.0,0.0,1.0
54,1.14,1.09,0.89,0.97,1.03,1068.0,1.0,-23.61,2.06,3.24,0.04,0.0,0.04,0.0,0.93,0.86,5214.0,0.49408,14.6597,-60.8375,-33.0,11.5197,1.0,0.0,0.545,1.306,-2.33,-0.17,-1.12,0.28,0.3,0.0,0.0,1.0
55,6120.35,10.99,4.61,50.66,23.6,899.0,28208.8,-28.08,21.01,24.84,0.162,0.35,0.15,94.1,0.9,3.7,4300.0,4.199205,16.1919,-18.6403,-32.4,13.0214,1.0,0.0,1.649,4.114,-2.21,15.02,13.18,0.05,0.06,0.0,0.0,1.0
56,2034.82,11.68,1.28,14.91,13.2,898.4,2598.2,-28.09,22.34,481.9,1.3,0.2,1.27,218.0,1.14,32.35,4095.0,264.03051,11.8377,2.7601,-32.3,13.5665,1.0,0.0,13.15,33.128,-2.19,9.7,6.73,0.08,0.08,0.0,0.0,1.0
57,467.37,10.89,0.36,3.94,6.55,220.8,169.2,-21.88,20.81,268.94,0.777,0.29,0.74,87.6,0.86,0.79,5008.0,0.348289,21.2267,14.6894,-26.2,0.565,1.0,1.0,0.462,1.117,-0.01,6.99,6.68,0.09,0.43,1.0,0.0,1.0
58,337.02,10.37,0.3,3.13,5.7,808.0,101.8,-27.31,19.81,153.22,0.576,0.0,0.58,55.0,1.08,8.95,4649.0,33.571764,11.7656,14.6164,-31.8,8.2878,1.0,0.0,4.608,11.308,-2.2,6.54,2.15,0.12,0.13,0.0,0.0,1.0
59,352.91,10.45,0.31,3.23,5.81,1099.6,109.1,-28.77,19.96,137.48,0.539,0.26,0.52,302.0,1.1,14.7,4796.0,102.574923,16.0064,15.5469,-33.2,15.0953,1.0,0.0,8.007,19.521,-2.3,6.61,1.62,0.12,0.12,0.0,0.0,1.0
60,1335.35,11.67,0.84,9.81,10.7,691.0,1122.8,-26.89,22.31,578.2,1.3,0.0,1.3,0.0,0.8,17.3,4296.0,91.461682,1.7281,21.005,-31.1,7.0964,1.0,0.0,7.698,19.204,-2.11,8.65,6.14,0.08,0.1,0.0,0.0,1.0
61,16.31,2.23,1.47,3.28,2.71,498.9,24.0,-21.85,4.24,41.69,0.241,0.0,0.24,0.0,0.96,0.93,5766.0,0.854052,3.5767,20.5992,-29.7,2.0522,1.0,0.0,0.694,1.636,-1.96,-0.13,0.61,0.33,0.33,0.0,0.0,1.0
62,2025.28,11.68,1.27,14.84,13.17,635.8,2573.7,-26.59,22.34,7.78,0.066,0.22,0.06,200.4,0.63,0.71,4410.0,0.171065,7.3956,20.4142,-30.8,5.8794,1.0,0.0,0.332,0.823,-2.08,9.69,8.29,0.07,0.1,0.0,0.0,1.0
63,6810.27,10.85,5.34,57.9,25.06,315.8,36354.4,-23.34,20.72,379.63,1.45,0.15,1.43,207.6,2.8,4.39,4127.0,4.989534,10.2792,19.8914,-27.7,1.6333,2.0,1.0,1.806,4.543,-1.26,15.83,25.44,0.03,0.3,0.0,0.0,1.0
64,3964.71,11.44,2.65,30.32,18.62,268.0,10511.7,-22.76,21.86,621.99,2.01,0.18,1.98,126.0,2.8,4.39,4127.0,4.989534,10.2792,19.8914,-27.0,1.1842,2.0,1.0,1.806,4.543,-0.85,12.36,20.15,0.04,0.37,0.0,0.0,1.0
65,16850.82,9.15,21.97,201.11,42.91,265.7,370219.9,-22.58,17.46,145.08,0.5,0.5,0.43,66.3,0.75,0.73,5077.0,0.316406,23.0275,25.7881,-27.3,0.9001,1.0,1.0,0.439,1.058,-0.75,27.87,46.94,0.02,0.33,0.0,0.0,1.0
66,8266.44,10.55,7.05,74.31,28.0,151.1,58243.7,-20.14,20.15,536.78,1.19,0.27,1.15,1.3,0.76,0.63,4748.0,0.178471,9.0419,25.8894,-24.6,0.2918,1.0,0.0,0.335,0.818,2.59,17.54,41.79,0.02,0.16,0.0,0.0,1.0
67,289.33,10.09,0.28,2.84,5.35,643.9,81.4,-26.32,19.27,392.6,1.0,0.2,0.98,358.9,0.74,11.0,4414.0,41.210186,2.7139,49.5869,-30.8,5.9857,1.0,0.0,5.149,12.771,-2.09,6.34,2.32,0.12,0.15,0.0,0.0,1.0
68,508.7,11.0,0.38,4.2,6.8,290.9,194.3,-23.16,21.03,2590.0,4.2,0.35,3.93,170.0,1.52,7.6,4943.0,30.937093,3.0428,49.73,-27.5,1.0295,1.0,0.0,4.368,10.586,-1.03,7.11,5.82,0.1,0.41,0.0,0.0,1.0
69,8.58,1.91,1.23,2.35,2.12,1177.4,10.6,-25.27,3.63,3.87,0.0428,0.0,0.04,0.0,0.7,1.64,4324.0,0.835718,5.8833,-5.9947,-33.4,20.5046,3.0,1.0,0.735,1.832,-2.26,-0.14,-0.54,0.3,0.26,1.0,0.0,1.0
70,54.05,6.46,0.2,1.3,2.89,369.3,10.8,-22.86,12.3,125.94,0.435,0.0,0.43,0.0,0.7,1.64,4324.0,0.835718,5.8833,-5.9947,-28.4,2.0068,3.0,1.0,0.735,1.832,-1.55,4.18,1.18,0.18,0.39,1.0,0.0,1.0
71,28.93,5.26,0.2,1.05,2.35,236.6,5.7,-20.48,10.01,500.0,1.06,0.04,1.06,275.0,0.7,1.64,4324.0,0.835718,5.8833,-5.9947,-26.4,0.8242,3.0,1.0,0.735,1.832,-0.41,3.55,1.22,0.21,0.63,1.0,0.0,1.0
72,14.31,4.16,0.2,0.83,1.86,719.6,2.8,-24.84,7.91,5.6,0.056,0.15,0.06,30.0,0.74,0.67,4746.0,0.200736,10.0133,-9.5167,-31.3,6.4173,2.0,1.0,0.355,0.867,-2.17,3.02,-0.4,0.21,0.25,0.0,0.0,1.0
73,104.92,7.9,0.21,1.68,3.64,206.3,22.3,-20.81,15.06,237.6,0.68,0.19,0.67,127.0,0.74,0.67,4746.0,0.200736,10.0133,-9.5167,-25.9,0.5319,2.0,1.0,0.355,0.867,0.28,4.98,3.15,0.15,0.47,0.0,0.0,1.0
74,146.25,11.54,0.1,1.1,3.56,1451.7,13.9,-30.1,22.06,3.49,0.046,0.01,0.05,345.4,0.99,1.71,5400.0,2.230782,10.9744,-10.7703,-34.3,19.9117,1.0,0.0,1.146,2.73,-2.39,8.35,0.08,0.1,0.08,0.0,0.0,1.0
75,168.51,8.97,0.23,2.09,4.33,94.2,39.3,-17.62,17.11,1667.0,2.28,0.05,2.28,0.0,0.57,0.52,4475.0,0.09729,18.5581,-11.6361,-22.4,0.1217,1.0,0.0,0.25,0.618,10.04,5.6,6.9,0.07,0.16,1.0,0.0,1.0
76,1621.49,11.68,1.02,11.88,11.78,146.2,1648.7,-20.58,22.34,655.6,1.34,0.54,1.13,112.2,0.74,0.69,4714.0,0.210934,0.4761,-16.2264,-24.8,0.326,1.0,0.0,0.364,0.891,2.91,9.09,16.13,0.05,0.2,1.0,0.0,1.0
77,17804.64,9.03,24.16,218.21,44.4,6.1,430113.2,-5.7,17.23,721.5746168324818,6656.0,0.0,6656.0,0.0,1.96,1.71,8676.0,14.757891,15.2919,-58.8011,-10.5,0.0001,1.0,0.0,2.664,6.139,3828.05,29.09,345.19,0.0,0.04,0.0,0.0,1.0
78,2479.93,11.65,1.57,18.26,14.59,943.8,3885.4,-28.25,22.29,605.2,1.7,0.08,1.69,58.9,1.7,48.96,3990.0,545.085116,8.2753,9.1856,-32.5,15.444,1.0,0.0,18.941,47.964,-2.19,10.35,7.44,0.07,0.07,0.0,0.0,1.0
79,2225.58,18.48,0.35,6.52,10.97,123.0,784.8,-20.51,35.69,13288.0,13.18,0.32,12.47,87.0,1.73,1.09,9790.0,9.707662,5.7881,-51.0664,-23.7,0.0465,1.0,0.0,2.161,4.979,6.95,17.44,17.07,0.04,0.11,0.0,0.0,1.0
80,1939.43,11.68,1.22,14.21,12.88,994.9,2359.0,-28.53,22.34,522.3,1.4,0.19,1.37,307.4,1.4,42.06,4126.0,459.986643,14.845,74.1556,-32.7,16.3629,1.0,0.0,17.344,43.627,-2.21,9.56,6.12,0.08,0.08,0.0,0.0,1.0
81,9856.14,10.24,9.18,93.98,31.02,14.3,90443.9,-9.68,19.56,721.5746168324818,67.0,0.0,67.0,0.0,0.4,0.52,3680.0,0.044541,6.1553,-35.8253,-14.2,0.0042,1.0,0.0,0.172,0.443,492.81,19.4,156.87,0.0,0.04,0.0,0.0,1.0
82,3338.37,11.54,2.17,25.05,17.0,12.8,7242.6,-9.46,22.08,14227.0,2.6,0.0,2.6,0.0,0.02,0.7,560.0,4.3e-05,14.9747,10.2286,-13.7,0.144,1.0,0.0,0.005,0.015,559.04,11.54,90.1,0.0,0.06,0.0,0.0,1.0
83,6676.74,10.87,5.19,56.47,24.78,765.3643735286424,34672.8,-23.631825334382377,20.78,721.5746168324818,10.77480166927491,0.0,10.74170057381325,0.0,0.9731187859759288,1.4982379558158103,5481.50649867374,4.748896123665712,21.8298,-4.0525,-30.396547214229663,6.976087276129377,1.0,0.0,0.9733436334576451,2.323896377197656,120.02285377975412,15.68,4.429553382663848,0.21608879492600425,0.2633656110965716,0.0,0.0,1.0
84,3815.28,11.46,2.53,29.04,18.24,6.8,9663.9,-6.7,21.92,721.5746168324818,200.0,0.0,200.0,0.0,0.35,0.33,3840.0,0.020563,11.1081,-77.6258,-10.9,0.0009,1.0,0.0,0.117,0.298,2207.42,12.16,133.3,0.0,0.06,0.0,0.0,1.0
85,3913.84,11.44,2.61,29.88,18.49,727.1,10218.2,-27.07,21.88,9.0,0.0786,0.0,0.08,0.0,0.8,0.81,5150.0,0.4096,4.5644,22.8417,-31.3,5.4852,1.0,0.0,0.498,1.196,-2.2,12.29,11.53,0.06,0.07,0.0,0.0,1.0
86,327.48,16.69,0.07,1.18,4.43,1835.8,23.1,-31.93,32.13,1.51,0.0254,0.0,0.03,0.0,0.95,1.11,6298.0,1.739188,6.8053,-3.1022,-35.3,23.4522,1.0,0.0,0.959,2.233,-2.47,12.54,0.27,0.07,0.06,0.0,0.0,1.0
87,1052.38,16.41,0.24,3.91,8.01,1392.7,250.7,-30.69,31.58,1.74,0.0281,0.0,0.03,0.0,0.97,0.9,5575.0,0.705152,19.4519,1.3839,-34.1,17.1706,1.0,0.0,0.638,1.511,-2.4,12.86,2.42,0.07,0.06,0.0,0.0,1.0
88,6921.55,11.31,4.78,54.09,24.74,1453.4,33097.0,-30.07,21.63,4.26,0.057,0.0,0.06,0.0,1.41,1.44,6558.0,3.441126,19.4703,0.1219,-34.3,13.4943,1.0,0.0,1.328,3.081,-2.45,16.8,10.81,0.05,0.08,0.0,0.0,1.0
89,228.92,13.33,0.1,1.29,4.14,975.6,22.1,-28.68,25.54,9.2,0.09,0.0,0.09,0.0,1.1,1.15,6190.0,1.742,6.8131,-0.6728,-32.6,6.8135,1.0,0.0,0.966,2.254,-2.36,9.61,0.84,0.09,0.07,0.0,0.0,1.0
